Current,,,,,,,,,
,,,,,,,,,
基金名稱,年月,標的碼,標的名稱,投資股數(千股),投資比率％,投資金額(千元),持股數/流通在外股數%,個股月報酬率％,ISIN
00730 富邦臺灣優質高息,2025/11,6139,亞翔,287,7.47,"130,675",0.12,-4.8065,TW0006139009
00730 富邦臺灣優質高息,2025/11,M2300,電子工業,-,42.75,"747,841",-,-3.1657,
00730 富邦臺灣優質高息,2025/11,MOTC,國內上櫃,-,7.72,"135,049",-,-0.768,
00730 富邦臺灣優質高息,2025/11,MTSE,國內上市,-,35.03,"612,792",-,-2.1495,
00730 富邦臺灣優質高息,2025/11,TT99,基金總規模,-,-,"1,749,336",-,-,
00731 復華富時高息低波,2025/11,2303,聯電,"4,687",7.81,"214,672",0.04,-1.293,TW0002303005
00731 復華富時高息低波,2025/11,2412,中華電,"1,533",7.28,"200,104",0.02,-0.3817,TW0002412004
00731 復華富時高息低波,2025/11,2884,玉山金,"6,177",6.82,"187,460",0.04,2.0168,TW0002884004
00731 復華富時高息低波,2025/11,2886,兆豐金,"4,750",6.93,"190,484",0.03,-0.7425,TW0002886009
00731 復華富時高息低波,2025/11,2891,中信金,"6,174",9.76,"268,271",0.03,3.8231,TW0002891009
00731 復華富時高息低波,2025/11,M2300,電子工業,-,15.09,"414,776",-,-3.1657,
00731 復華富時高息低波,2025/11,M2800,金融業(合計),-,23.51,"646,215",-,1.1873,
00731 復華富時高息低波,2025/11,MTSE,國內上市,-,38.6,"1,060,992",-,-2.1495,
00731 復華富時高息低波,2025/11,TT99,基金總規模,-,-,"2,748,683",-,-,
00733 富邦臺灣中小,2025/11,1504,東元,"4,526",5.89,"396,961",0.19,-24.7211,TW0001504009
00733 富邦臺灣中小,2025/11,2324,仁寶,"13,778",6,"404,375",0.31,-11.1952,TW0002324001
00733 富邦臺灣中小,2025/11,2356,英業達,"10,248",6.63,"446,834",0.29,-5.0109,TW0002356003
00733 富邦臺灣中小,2025/11,2376,技嘉,"1,780",6.43,"433,355",0.27,-13.1907,TW0002376001
00733 富邦臺灣中小,2025/11,6446,藥華藥,930,7.12,"479,858",0.24,3.6145,TW0006446008
00733 富邦臺灣中小,2025/11,M1500,電機機械,-,5.89,"396,961",-,-8.8799,
00733 富邦臺灣中小,2025/11,M1700,化學生技醫療,-,7.12,"479,858",-,-1.6872,
00733 富邦臺灣中小,2025/11,M2300,電子工業,-,19.06,"1,284,563",-,-3.1657,
00733 富邦臺灣中小,2025/11,MTSE,國內上市,-,32.07,"2,161,382",-,-2.1495,
00733 富邦臺灣中小,2025/11,TT99,基金總規模,-,-,"6,739,575",-,-,
00735 國泰臺韓科技,2025/11,-,-,-,-,-,-,-,-
00736 國泰新興市場,2025/11,-,-,-,-,-,-,-,-
00737 國泰AI機器人,2025/11,-,-,-,-,-,-,-,-
00739 元大MSCI A股,2025/11,-,-,-,-,-,-,-,-
00742 新光內需收益,2025/11,-,-,-,-,-,-,-,-
00743 國泰中國A150,2025/11,-,-,-,-,-,-,-,-
00752 中信中國50,2025/11,-,-,-,-,-,-,-,-
00753L 中信中國50正2,2025/11,-,-,-,-,-,-,-,-
00757 統一FANG+,2025/11,-,-,-,-,-,-,-,-
00762 元大全球AI,2025/11,-,-,-,-,-,-,-,-
00767 FH美國金融股,2025/11,-,-,-,-,-,-,-,-
00770 國泰標普北美科技,2025/11,-,-,-,-,-,-,-,-
00771 元大US高息特別股,2025/11,-,-,-,-,-,-,-,-
00776 新光ICE美國權值,2025/11,-,-,-,-,-,-,-,-
00783 富邦中証500,2025/11,-,-,-,-,-,-,-,-
0080 恒生中國企業,2025/11,-,-,-,-,-,-,-,-
0081 恆指ＥＴＦ,2025/11,-,-,-,-,-,-,-,-
008201 標智上證50中國,2025/11,-,-,-,-,-,-,-,-
00830 國泰費城半導體,2025/11,-,-,-,-,-,-,-,-
00850 元大臺灣ESG永續,2025/11,-,-,-,-,-,-,-,-
00851 台新全球AI,2025/11,-,-,-,-,-,-,-,-
00858 永豐美國500大,2025/11,-,-,-,-,-,-,-,-
00861 元大全球未來通訊,2025/11,-,-,-,-,-,-,-,-
00866 新光Shiller CAPE,2025/11,-,-,-,-,-,-,-,-
00875 國泰網路資安 ETF,2025/11,-,-,-,-,-,-,-,-
00876 元大全球5G,2025/11,-,-,-,-,-,-,-,-
