Current,,,,,
,,,,,
基金名稱,年月,投資股數,投資比率％,持股數/流通在外股數%,個股月報酬率％
4532 瑞智,2025/09,"3,143",0,0.62,0.62
4533 協易機,2025/09,-,-,-,-
4534 慶騰,2025/09,-,-,-,-
4535 至興,2025/09,-,-,-,-
4536 拓凱,2025/09,857,0,0.94,1.85
4540 全球傳動,2025/09,-,-,-,-
4541 晟田,2025/09,170,0,0.25,-18.23
4545 銘鈺,2025/09,-,-,-,-
4549 桓達,2025/09,217,0,0.38,-17.28
4551 智伸科,2025/09,"4,371",0.01,3.79,-20.54
4552 力達-KY,2025/09,-,-,-,-
4557 永新-KY,2025/09,-,-,-,-
4560 強信-KY,2025/09,-,-,-,-
4564 元翎,2025/09,-,-,-,-
4566 時碩工業,2025/09,-,-,-,-
4568 科際精密,2025/09,-,-,-,-
4571 鈞興-KY,2025/09,125,0,0.24,-10.05
4572 駐龍,2025/09,176,0,0.44,-4.65
4576 大銀微系統,2025/09,372,0,0.31,-6.43
4583 台灣精銳,2025/09,547,0.01,0.68,-11.36
4609 唐鋒,2025/09,-,-,-,-
4702 中美實,2025/09,-,-,-,-
4703 揚華,2025/09,-,-,-,-
4707 磐亞,2025/09,-,-,-,-
4711 永純,2025/09,-,-,-,-
4712 福格創新,2025/09,-,-,-,-
4716 大立,2025/09,-,-,-,-
4717 天泰,2025/09,-,-,-,-
4720 德淵,2025/09,314,0,0.27,-0.95
4721 美琪瑪,2025/09,-,-,-,-
4722 國精化,2025/09,-,-,-,-
4725 信昌化,2025/09,-,-,-,-
4726 永昕,2025/09,-,-,-,-
4728 雙美,2025/09,-,-,-,-
4729 熒茂,2025/09,-,-,-,-
4733 上緯,2025/09,-,-,-,-
4735 豪展,2025/09,-,-,-,-
4736 泰博,2025/09,300,0,0.31,-7.5
4737 華廣,2025/09,-,-,-,-
4739 康普,2025/09,920,0,0.78,24.33
4743 合一,2025/09,-,-,-,-
4745 合富-KY,2025/09,-,-,-,-
4746 台耀,2025/09,-,-,-,-
4749 新應材,2025/09,"3,950",0.08,4.26,11.25
4755 三福化,2025/09,711,0,0.71,-2.37
4760 勤凱,2025/09,-,-,-,-
4763 材料*-KY,2025/09,"75,307",0.11,7.61,-13.7
4764 雙鍵,2025/09,-,-,-,-
4766 南寶,2025/09,"7,265",0.07,6.03,-3.32
4768 晶呈科技,2025/09,224,0,0.47,24.69
4770 上品,2025/09,"1,573",0.01,1.97,3.65
4772 台特化,2025/09,"1,665",0.01,1.13,7.71
4801 高盛電,2025/09,-,-,-,-
4803 VHQ-KY,2025/09,-,-,-,-
4804 大略-KY,2025/09,-,-,-,-
4807 日成-KY,2025/09,-,-,-,-
4903 聯光通,2025/09,-,-,-,-
4904 遠傳,2025/09,"359,666",0.77,9.97,4.99
4905 台聯電,2025/09,-,-,-,-
4906 正文,2025/09,671,0,0.16,-0.2
4907 富宇,2025/09,-,-,-,-
4908 前鼎,2025/09,-,-,-,-
4909 新復興,2025/09,-,-,-,-
4910 陽慶,2025/09,-,-,-,-
4911 德英,2025/09,-,-,-,-
4912 聯德控股-KY,2025/09,-,-,-,-
4915 致伸,2025/09,"81,486",0.15,17.29,-5.3
4916 事欣科,2025/09,-,-,-,-
4919 新唐,2025/09,536,0,0.13,0.48
4924 欣厚-KY,2025/09,-,-,-,-
4927 泰鼎-KY,2025/09,-,-,-,-
4930 燦星網,2025/09,-,-,-,-
4931 新盛力,2025/09,"1,840",0.01,2.8,-6.23
4933 友輝,2025/09,311,0,0.38,-5.35
4934 太極,2025/09,-,-,-,-
4935 茂林-KY,2025/09,-,-,-,-
4938 和碩,2025/09,"337,625",0.58,12.59,0.85
4939 亞電,2025/09,-,-,-,-
4942 嘉彰,2025/09,5,0,0,0.55
4943 康控-KY,2025/09,-,-,-,-
4944 兆遠,2025/09,-,-,-,-
4945 陞達科技,2025/09,-,-,-,-
4946 辣椒,2025/09,-,-,-,-
4947 昂寶-KY,2025/09,-,-,-,-
4950 金耘國際,2025/09,-,-,-,-
4952 凌通,2025/09,-,-,-,-
4953 緯軟,2025/09,193,0,0.26,3.59
4956 光鋐,2025/09,-,-,-,-
4958 臻鼎-KY,2025/09,"65,347",0.26,6.28,-15.52
4960 誠美材,2025/09,-,-,-,-
4961 天鈺,2025/09,"8,925",0.04,7.36,-3.66
4965 商店街,2025/09,-,-,-,-
4966 譜瑞-KY,2025/09,"2,567",0.05,3.21,-5.12
4967 十銓,2025/09,-,-,-,-
4968 立積,2025/09,"1,199",0,1.3,-1.98
4971 IET-KY,2025/09,-,-,-,-
4973 廣穎,2025/09,-,-,-,-
4974 亞泰,2025/09,-,-,-,-
4976 佳凌,2025/09,-,-,-,-
4977 眾達-KY,2025/09,142,0,0.18,1.25
4979 華星光,2025/09,"7,829",0.04,5.56,5.37
4984 科納-KY,2025/09,-,-,-,-
4987 科誠,2025/09,-,-,-,-
4989 榮科,2025/09,-,-,-,-
4991 環宇-KY,2025/09,"7,402",0.02,6.5,-14.02
4994 傳奇,2025/09,2,0,0,5.64
4999 鑫禾,2025/09,-,-,-,-
5002 住聯,2025/09,-,-,-,-
5006 高鋁,2025/09,-,-,-,-
5007 三星,2025/09,12,0,0,0.77
5008 長銘,2025/09,-,-,-,-
5009 榮剛,2025/09,"3,610",0,0.6,-6.41
5013 強新,2025/09,-,-,-,-
5014 建錩,2025/09,-,-,-,-
5015 華祺,2025/09,-,-,-,-
5016 松和,2025/09,-,-,-,-
5017 新泰伸,2025/09,-,-,-,-
5202 力新,2025/09,-,-,-,-
5203 訊連,2025/09,20,0,0.03,2.81
5204 得捷,2025/09,-,-,-,-
5205 中茂,2025/09,-,-,-,-
5206 坤悅,2025/09,-,-,-,-
5207 飛雅,2025/09,-,-,-,-
5208 蔚華,2025/09,-,-,-,-
5209 新鼎,2025/09,-,-,-,-
5211 蒙恬,2025/09,-,-,-,-
5212 凌網,2025/09,-,-,-,-
5213 亞昕,2025/09,-,-,-,-
5215 科嘉-KY,2025/09,-,-,-,-
5220 萬達光電,2025/09,-,-,-,-
5222 全訊,2025/09,"1,068",0,1.17,-5.98
5225 東科-KY,2025/09,-,-,-,-
5227 立凱-KY,2025/09,-,-,-,-
5230 雷笛克光學,2025/09,-,-,-,-
5234 達興材料,2025/09,"5,920",0.06,5.76,2.75
5236 凌陽創新,2025/09,9,0,0.01,-7.78
5243 乙盛-KY,2025/09,"1,047",0,0.62,1.78
5244 弘凱,2025/09,-,-,-,-
5245 智晶,2025/09,-,-,-,-
5251 天鉞電,2025/09,-,-,-,-
5258 虹堡,2025/09,-,-,-,-
5261 創傑,2025/09,-,-,-,-
5263 智崴,2025/09,-,-,-,-
5264 鎧勝-KY,2025/09,-,-,-,-
5266 F*AS,2025/09,-,-,-,-
5269 祥碩,2025/09,838,0.03,1.12,-10.3
5272 笙科,2025/09,-,-,-,-
5274 信驊,2025/09,"1,813",0.22,4.8,1.1
5280 F-敦泰,2025/09,-,-,-,-
5281 大峽谷-KY,2025/09,-,-,-,-
5283 禾聯碩,2025/09,-,-,-,-
5284 jpp-KY,2025/09,105,0,0.2,4.37
5285 界霖,2025/09,1,0,0,2.86
5287 數字,2025/09,-,-,-,-
5288 豐祥-KY,2025/09,28,0,0.04,-12.6
5289 宜鼎,2025/09,"1,652",0.01,1.73,13.43
5299 杰力,2025/09,-,-,-,-
5301 寶得利,2025/09,-,-,-,-
5302 太欣,2025/09,-,-,-,-
5304 鼎創達,2025/09,-,-,-,-
5305 敦南,2025/09,-,-,-,-
5306 桂盟,2025/09,-,-,-,-
5307 耀文,2025/09,-,-,-,-
5309 系統電,2025/09,"1,820",0,0.89,18.86
5310 天剛,2025/09,-,-,-,-
5312 寶島科,2025/09,-,-,-,-
5313 皇旗,2025/09,-,-,-,-
5314 世紀*,2025/09,"1,212",0,0.42,76.25
5315 光聯,2025/09,-,-,-,-
5317 Ｄ凱美,2025/09,-,-,-,-
5318 威豪聯合,2025/09,-,-,-,-
5321 美而快,2025/09,-,-,-,-
5324 士開,2025/09,-,-,-,-
5325 大騰,2025/09,-,-,-,-
5326 漢磊科技,2025/09,-,-,-,-
5328 華容,2025/09,-,-,-,-
5332 旭龍,2025/09,-,-,-,-
5333 佳茂,2025/09,-,-,-,-
5336 華特,2025/09,-,-,-,-
5340 建榮,2025/09,-,-,-,-
5343 矽豐,2025/09,-,-,-,-
5344 立衛,2025/09,-,-,-,-
5345 馥鴻,2025/09,-,-,-,-
5346 力晶,2025/09,-,-,-,-
5347 世界,2025/09,"374,785",0.92,20.07,11.48
5348 正能量智能,2025/09,-,-,-,-
5349 先豐,2025/09,-,-,-,-
5351 鈺創,2025/09,32,0,0.01,-0.58
5353 台林,2025/09,-,-,-,-
5355 佳總,2025/09,-,-,-,-
5356 協益,2025/09,-,-,-,-
5364 力麗店,2025/09,-,-,-,-
5371 中光電,2025/09,"3,507",0.01,0.9,-10.98
5372 十美,2025/09,-,-,-,-
5375 台灣慧智,2025/09,-,-,-,-
5376 東正元,2025/09,-,-,-,-
5381 合正,2025/09,-,-,-,-
5383 金利,2025/09,-,-,-,-
5384 捷元,2025/09,-,-,-,-
5385 瑩寶,2025/09,-,-,-,-
5386 青雲,2025/09,-,-,-,-
5387 茂德,2025/09,-,-,-,-
5388 中磊,2025/09,"13,171",0.03,4.33,-4.27
5392 能率,2025/09,-,-,-,-
5395 圓方,2025/09,-,-,-,-
5398 慕康生醫,2025/09,-,-,-,-
5401 第三波,2025/09,-,-,-,-
5403 中菲,2025/09,-,-,-,-
5414 磐英,2025/09,-,-,-,-
5425 台半,2025/09,"1,454",0,0.55,7.21
5426 振發,2025/09,-,-,-,-
5432 新門,2025/09,-,-,-,-
5434 崇越,2025/09,"12,401",0.09,6.45,7.53
5436 立生,2025/09,-,-,-,-
5438 東友,2025/09,-,-,-,-
5439 高技,2025/09,"3,542",0.03,3.81,-0.78
5441 聯友光電,2025/09,-,-,-,-
5442 世峰,2025/09,-,-,-,-
5443 均豪,2025/09,-,-,-,-
5448 維迪,2025/09,-,-,-,-
5450 南良,2025/09,-,-,-,-
5452 佶優,2025/09,-,-,-,-
5455 昇益,2025/09,-,-,-,-
5457 宣德,2025/09,386,0,0.22,4.73
5460 同協,2025/09,-,-,-,-
5464 霖宏,2025/09,-,-,-,-
5465 富驊,2025/09,-,-,-,-
5466 泰林,2025/09,-,-,-,-
5468 凱鈺,2025/09,-,-,-,-
5469 瀚宇博,2025/09,188,0,0.04,1.89
5471 松翰,2025/09,3,0,0,4.23
5473 矽成,2025/09,-,-,-,-
5474 聰泰,2025/09,-,-,-,-
5475 德宏,2025/09,-,-,-,-
5478 智冠,2025/09,-,-,-,-
5480 統盟,2025/09,-,-,-,-
5481 新華,2025/09,-,-,-,-
5483 中美晶,2025/09,"66,255",0.19,10.33,12.08
5484 慧友,2025/09,-,-,-,-
5487 通泰,2025/09,-,-,-,-
5488 松普,2025/09,-,-,-,-
5489 彩富,2025/09,-,-,-,-
5490 同亨,2025/09,-,-,-,-
5491 連展,2025/09,-,-,-,-
5492 亞智科,2025/09,-,-,-,-
5493 三聯,2025/09,-,-,-,-
5494 德鑫,2025/09,-,-,-,-
5498 凱崴,2025/09,-,-,-,-
5501 金腦科,2025/09,-,-,-,-
5502 龍田,2025/09,-,-,-,-
5503 榮美開發,2025/09,-,-,-,-
5504 信南,2025/09,-,-,-,-
5505 和旺,2025/09,-,-,-,-
5506 長鴻,2025/09,-,-,-,-
5508 永信建,2025/09,"22,143",0.05,10.18,20.03
5511 德昌,2025/09,-,-,-,-
5512 力麒,2025/09,-,-,-,-
5513 德利,2025/09,-,-,-,-
5514 三豐,2025/09,-,-,-,-
5515 建國,2025/09,145,0,0.07,2.55
5519 隆大,2025/09,-,-,-,-
5520 力泰,2025/09,-,-,-,-
5521 工信,2025/09,-,-,-,-
5522 遠雄,2025/09,"77,983",0.12,9.98,0.81
5523 豐謙,2025/09,-,-,-,-
5524 捷力科技,2025/09,-,-,-,-
5525 順天,2025/09,-,-,-,-
5528 廣大,2025/09,-,-,-,-
5529 鉅陞,2025/09,-,-,-,-
5530 龍巖,2025/09,-,-,-,-
5531 鄉林,2025/09,-,-,-,-
5533 皇鼎,2025/09,-,-,-,-
5534 長虹,2025/09,484,0,0.17,0.93
5536 聖暉*,2025/09,"9,614",0.18,7.75,-13.12
5538 東明-KY,2025/09,-,-,-,-
5601 台聯櫃,2025/09,-,-,-,-
5602 榮櫃,2025/09,-,-,-,-
5603 陸海,2025/09,-,-,-,-
5604 中連,2025/09,-,-,-,-
5605 遠航,2025/09,-,-,-,-
5607 遠雄港,2025/09,-,-,-,-
5608 四維航,2025/09,-,-,-,-
5609 中菲行,2025/09,-,-,-,-
5701 劍湖山,2025/09,-,-,-,-
5702 統合,2025/09,-,-,-,-
5704 老爺知,2025/09,-,-,-,-
5706 鳳凰,2025/09,140,0,0.16,-4.48
5801 第一金投,2025/09,-,-,-,-
5810 寶華,2025/09,-,-,-,-
5818 僑銀,2025/09,-,-,-,-
5819 玉山票券,2025/09,-,-,-,-
5820 日盛金,2025/09,-,-,-,-
5828 富邦保,2025/09,-,-,-,-
5831 新光人壽,2025/09,-,-,-,-
5833 元大證金,2025/09,-,-,-,-
5834 兆豐保險,2025/09,-,-,-,-
5835 國泰世華,2025/09,-,-,-,-
5836 台北富邦銀,2025/09,-,-,-,-
5838 華銀,2025/09,-,-,-,-
5839 中華開發資本,2025/09,-,-,-,-
5840 國票,2025/09,-,-,-,-
5841 中信銀,2025/09,-,-,-,-
5842 兆豐票券,2025/09,-,-,-,-
5843 兆豐銀行,2025/09,-,-,-,-
5844 一銀,2025/09,-,-,-,-
5846 國壽,2025/09,-,-,-,-
5847 玉山銀,2025/09,-,-,-,-
5848 台新銀,2025/09,-,-,-,-
5849 永豐銀行,2025/09,-,-,-,-
5850 日盛銀行,2025/09,-,-,-,-
5852 元大銀,2025/09,-,-,-,-
5854 合庫,2025/09,-,-,-,-
5871 中租-KY,2025/09,"219,730",0.59,12.84,-4.29
5871A 中租-KY甲特,2025/09,190,0,0.13,0.5
5876 上海商銀,2025/09,"582,287",0.59,11.98,2.56
5880 合庫金,2025/09,"242,385",0.14,1.55,4.01
5901 中友,2025/09,-,-,-,-
5902 德記,2025/09,-,-,-,-
5903 全家,2025/09,661,0,0.3,-0.52
5904 寶雅,2025/09,403,0,0.38,0.43
5905 南仁湖,2025/09,-,-,-,-
5907 大洋-KY,2025/09,-,-,-,-
6002 台育證券,2025/09,-,-,-,-
6003 大華證券,2025/09,-,-,-,-
6004 元京證,2025/09,-,-,-,-
6005 群益證,2025/09,"176,015",0.1,8.11,13.07
6008 凱基證,2025/09,-,-,-,-
6010 台証證券,2025/09,-,-,-,-
6012 金鼎證,2025/09,-,-,-,-
6013 京華證券,2025/09,-,-,-,-
6015 宏遠證,2025/09,-,-,-,-
6016 康和證,2025/09,-,-,-,-
6017 亞洲證券,2025/09,-,-,-,-
6018 新寶證券,2025/09,-,-,-,-
6020 大展證,2025/09,-,-,-,-
6021 美好證,2025/09,-,-,-,-
6022 大眾證,2025/09,-,-,-,-
6023 元大期,2025/09,-,-,-,-
6024 群益期,2025/09,89,0,0.04,-1.83
6101 寬魚國際,2025/09,-,-,-,-
6103 合邦,2025/09,-,-,-,-
6104 創惟,2025/09,79,0,0.09,-10.38
6105 瑞傳,2025/09,-,-,-,-
6107 華美,2025/09,-,-,-,-
6108 競國,2025/09,-,-,-,-
6109 亞元,2025/09,-,-,-,-
6110 艾群,2025/09,-,-,-,-
6111 大宇資,2025/09,-,-,-,-
6112 邁達特,2025/09,-,-,-,-
6113 亞矽,2025/09,-,-,-,-
6115 鎰勝,2025/09,1,0,0,2.36
6116 彩晶,2025/09,10,0,0,7.52
6117 迎廣,2025/09,-,-,-,-
6118 建達,2025/09,-,-,-,-
6119 大傳,2025/09,-,-,-,-
6120 達運,2025/09,-,-,-,-
6121 新普,2025/09,"35,789",0.32,19.35,-6.21
6122 擎邦,2025/09,-,-,-,-
6123 上奇,2025/09,-,-,-,-
6124 業強,2025/09,-,-,-,-
6125 廣運,2025/09,-,-,-,-
6126 信音,2025/09,-,-,-,-
6127 九豪,2025/09,-,-,-,-
6128 上福,2025/09,-,-,-,-
6129 普誠,2025/09,-,-,-,-
6130 上亞科技,2025/09,-,-,-,-
6131 鈞泰,2025/09,-,-,-,-
6132 銳普,2025/09,-,-,-,-
6133 金橋,2025/09,-,-,-,-
6134 萬旭,2025/09,-,-,-,-
6135 佳營,2025/09,-,-,-,-
6136 富爾特,2025/09,-,-,-,-
6137 新寶科,2025/09,-,-,-,-
6138 茂達,2025/09,"1,619",0.01,2.17,24.3
6139 亞翔,2025/09,"6,853",0.06,2.91,5.7
6140 訊達,2025/09,-,-,-,-
6141 柏承,2025/09,-,-,-,-
6142 友勁,2025/09,-,-,-,-
6143 振曜,2025/09,525,0,0.61,18.44
6145 勁永,2025/09,-,-,-,-
6146 耕興,2025/09,54,0,0.05,1.42
6147 頎邦,2025/09,"63,956",0.09,8.59,3.36
6148 驊宏資,2025/09,-,-,-,-
6149 禾鴻,2025/09,-,-,-,-
6150 撼訊,2025/09,-,-,-,-
6151 晉倫,2025/09,-,-,-,-
6152 百一,2025/09,-,-,-,-
6153 嘉聯益,2025/09,12,0,0,-1.62
6154 順發,2025/09,-,-,-,-
6155 鈞寶,2025/09,-,-,-,-
6156 松上,2025/09,-,-,-,-
6158 禾昌,2025/09,-,-,-,-
6159 詮鼎,2025/09,-,-,-,-
6160 欣技,2025/09,-,-,-,-
6161 捷波,2025/09,-,-,-,-
6162 鴻源科,2025/09,-,-,-,-
6163 華電網,2025/09,-,-,-,-
6164 華興,2025/09,-,-,-,-
6165 浪凡,2025/09,-,-,-,-
6166 凌華,2025/09,5,0,0,-5.56
6167 久正,2025/09,-,-,-,-
6168 宏齊,2025/09,6,0,0,-0.24
6169 昱泉,2025/09,-,-,-,-
6170 統振,2025/09,-,-,-,-
6172 互億,2025/09,-,-,-,-
6173 信昌電,2025/09,-,-,-,-
6175 立敦,2025/09,-,-,-,-
6176 瑞儀,2025/09,"146,387",0.51,31.48,0
6177 達麗,2025/09,"11,999",0.01,2.54,15.92
6178 振遠,2025/09,-,-,-,-
6179 亞通,2025/09,-,-,-,-
6180 橘子,2025/09,"3,393",0.01,1.93,2
6181 宇詮,2025/09,-,-,-,-
6182 合晶,2025/09,144,0,0.03,26.61
6183 關貿,2025/09,1,0,0,2.06
6184 大豐電,2025/09,25,0,0.02,-2.64
6185 幃翔,2025/09,-,-,-,-
6186 新潤,2025/09,533,0,0.27,8.36
6187 萬潤,2025/09,"1,822",0.02,1.88,-1.29
6188 廣明,2025/09,31,0,0.01,-7.66
6189 豐藝,2025/09,287,0,0.11,-4.94
6190 萬泰科,2025/09,-,-,-,-
6191 精成科,2025/09,"26,227",0.08,5.25,-16.67
6192 巨路,2025/09,-,-,-,-
6193 洪氏英,2025/09,-,-,-,-
6194 育富,2025/09,-,-,-,-
6195 詩肯,2025/09,-,-,-,-
6196 帆宣,2025/09,"16,187",0.1,7.43,-7.39
6197 佳必琪,2025/09,"5,017",0.02,4.11,-9.78
6198 瑞築,2025/09,-,-,-,-
6199 天品,2025/09,-,-,-,-
6201 亞弘電,2025/09,-,-,-,-
6202 盛群,2025/09,29,0,0.01,3.72
6203 海韻電,2025/09,397,0,0.48,-4.51
6204 艾華,2025/09,-,-,-,-
6205 詮欣,2025/09,-,-,-,-
6206 飛捷,2025/09,"6,400",0.02,4.47,-5.41
6207 雷科,2025/09,-,-,-,-
6208 日揚,2025/09,-,-,-,-
6209 今國光,2025/09,-,-,-,-
6210 慶生,2025/09,-,-,-,-
6211 福登,2025/09,-,-,-,-
6212 理銘,2025/09,-,-,-,-
6213 聯茂,2025/09,961,0,0.26,-22.63
6214 精誠,2025/09,964,0,0.35,2.98
6215 和椿,2025/09,-,-,-,-
6216 居易,2025/09,-,-,-,-
6217 中探針,2025/09,-,-,-,-
6218 豪勉,2025/09,-,-,-,-
6220 岳豐,2025/09,-,-,-,-
6221 晉泰,2025/09,-,-,-,-
6222 立軒,2025/09,-,-,-,-
6223 旺矽,2025/09,"21,330",0.88,22.49,23.38
6224 聚鼎,2025/09,-,-,-,-
6225 天瀚,2025/09,-,-,-,-
6226 光鼎,2025/09,-,-,-,-
6227 茂綸,2025/09,-,-,-,-
6228 全譜,2025/09,-,-,-,-
6229 研通,2025/09,-,-,-,-
6230 尼得科超眾,2025/09,1,0,0,1.03
6231 系微,2025/09,260,0,0.57,13.8
6232 仕欽,2025/09,-,-,-,-
6233 旺玖,2025/09,-,-,-,-
6234 高僑,2025/09,-,-,-,-
6235 華孚,2025/09,-,-,-,-
6236 中湛,2025/09,-,-,-,-
6237 驊訊,2025/09,-,-,-,-
6238 勝麗,2025/09,-,-,-,-
6239 力成,2025/09,"202,465",0.71,26.67,22.69
6242 立康,2025/09,-,-,-,-
6243 迅杰,2025/09,-,-,-,-
6244 茂迪,2025/09,-,-,-,-
6245 立端,2025/09,993,0,0.68,-4.49
6246 臺龍,2025/09,-,-,-,-
6247 淇譽電,2025/09,-,-,-,-
6248 沛波,2025/09,-,-,-,-
6251 定穎,2025/09,-,-,-,-
6255 奈普,2025/09,-,-,-,-
6257 矽格,2025/09,"68,333",0.15,14.12,7.56
6261 久元,2025/09,-,-,-,-
6263 普萊德,2025/09,4,0,0.01,-1.04
6264 富裔,2025/09,-,-,-,-
6265 方土昶,2025/09,-,-,-,-
6266 泰詠,2025/09,-,-,-,-
6269 台郡,2025/09,5,0,0,-8.38
6270 倍微,2025/09,-,-,-,-
6271 同欣電,2025/09,3,0,0,2.65
6274 台燿,2025/09,"36,644",0.28,12.69,-14.54
6275 元山,2025/09,-,-,-,-
6277 宏正,2025/09,1,0,0,6.95
6278 台表科,2025/09,"62,071",0.16,21.23,-2.79
6279 胡連,2025/09,"1,477",0,1.24,-7.34
6280 崇貿,2025/09,-,-,-,-
6281 全國電,2025/09,1,0,0,-1.99
6282 康舒,2025/09,960,0,0.11,6.1
6283 淳安,2025/09,-,-,-,-
6284 佳邦,2025/09,34,0,0.02,8.47
6285 啟碁,2025/09,"40,491",0.11,8.36,-8.27
6286 立錡,2025/09,-,-,-,-
6287 元隆,2025/09,-,-,-,-
6288 聯嘉,2025/09,-,-,-,-
6289 華上,2025/09,-,-,-,-
6290 良維,2025/09,501,0,0.31,9.87
6291 沛亨,2025/09,200,0,0.48,6.15
6292 迅德,2025/09,-,-,-,-
6294 智基,2025/09,-,-,-,-
6298 崴強,2025/09,-,-,-,-
6402 基泰營,2025/09,-,-,-,-
6405 悅城,2025/09,-,-,-,-
6409 旭隼,2025/09,633,0.01,0.72,-6.36
6411 晶焱,2025/09,-,-,-,-
6412 群電,2025/09,"37,181",0.09,9.28,-4.95
6414 樺漢,2025/09,"5,632",0.04,4.09,-8.54
6415 矽力*-KY,2025/09,"4,677",0.03,1.2,-16.37
6416 瑞祺電通,2025/09,2,0,0,-8.07
6417 韋僑,2025/09,-,-,-,-
6422 君耀-KY,2025/09,-,-,-,-
6426 統新,2025/09,-,-,-,-
6435 大中,2025/09,-,-,-,-
6438 迅得,2025/09,908,0,1.1,-14.7
6441 廣錠,2025/09,-,-,-,-
6442 光聖,2025/09,"3,674",0.07,4.75,-14.18
6443 元晶,2025/09,-,-,-,-
6446 藥華藥,2025/09,"3,339",0.04,0.88,15.11
6449 鈺邦,2025/09,151,0,0.16,7.44
6451 訊芯-KY,2025/09,-,-,-,-
6452 康友-KY,2025/09,-,-,-,-
6456 GIS-KY,2025/09,3,0,0,-0.48
6457 紘康,2025/09,-,-,-,-
6462 神盾,2025/09,69,0,0.08,-0.39
6464 台數科,2025/09,-,-,-,-
6469 大樹,2025/09,14,0,0.01,-7.86
6470 宇智,2025/09,-,-,-,-
6472 保瑞,2025/09,"1,117",0.02,0.89,-5.09
6477 安集,2025/09,-,-,-,-
6485 點序,2025/09,-,-,-,-
6488 環球晶,2025/09,"10,469",0.12,2.19,25.4
6491 晶碩,2025/09,46,0,0.06,0.31
6492 生華科,2025/09,-,-,-,-
6494 九齊,2025/09,-,-,-,-
6499 益安,2025/09,-,-,-,-
6504 南六,2025/09,-,-,-,-
6505 台塑化,2025/09,"28,194",0.03,0.3,1.12
6506 雙邦,2025/09,-,-,-,-
6508 惠光,2025/09,-,-,-,-
6509 聚和,2025/09,501,0,0.25,-1.01
6510 精測,2025/09,"5,511",0.26,16.81,54.62
6514 芮特-KY,2025/09,-,-,-,-
6515 穎崴,2025/09,"5,694",0.31,15.8,64.73
6523 達爾膚,2025/09,22,0,0.05,4.6
6525 捷敏-KY,2025/09,45,0,0.03,6.92
6526 達發,2025/09,385,0,0.23,-8.79
6531 愛普*,2025/09,"2,199",0.02,1.35,10.19
6532 瑞耘,2025/09,-,-,-,-
6533 晶心科,2025/09,7,0,0.01,7.72
6535 順藥,2025/09,"2,206",0.02,1.31,51.05
6538 倉和,2025/09,97,0,0.26,-10.14
6541 泰福-KY,2025/09,-,-,-,-
6546 正基,2025/09,-,-,-,-
6547 高端疫苗,2025/09,-,-,-,-
6548 長科*,2025/09,"1,540",0,0.16,1.62
6550 北極星藥業-KY,2025/09,-,-,-,-
6552 易華電,2025/09,-,-,-,-
6554 中美冠科-KY,2025/09,-,-,-,-
6558 興能高,2025/09,-,-,-,-
6561 是方,2025/09,196,0,0.25,-4.09
6568 宏觀,2025/09,-,-,-,-
6569 醫揚,2025/09,-,-,-,-
6570 維田,2025/09,-,-,-,-
6576 逸達,2025/09,-,-,-,-
6577 勁豐,2025/09,-,-,-,-
6579 研揚,2025/09,3,0,0,-4.4
6581 鋼聯,2025/09,-,-,-,-
6582 申豐,2025/09,-,-,-,-
6584 南俊國際,2025/09,"2,281",0.01,3.42,-9.65
6585 鼎基,2025/09,-,-,-,-
6589 台康生技,2025/09,-,-,-,-
6591 動力-KY,2025/09,200,0,0.49,-17.17
6592 和潤企業,2025/09,357,0,0.06,-0.14
6592A 和潤企業甲特,2025/09,260,0,0.52,1.24
6592B 和潤企業乙特,2025/09,749,0,1.5,1.13
6598 ABC-KY,2025/09,-,-,-,-
6605 帝寶,2025/09,"5,040",0.02,3.04,-8.65
6609 瀧澤科,2025/09,-,-,-,-
6612 奈米醫材,2025/09,-,-,-,-
6613 朋億*,2025/09,756,0,0.97,-19.82
6640 均華,2025/09,32,0,0.11,8.17
6643 M31,2025/09,23,0,0.06,-11.13
6664 群翊,2025/09,39,0,0.06,-2.31
6666 羅麗芬-KY,2025/09,-,-,-,-
6667 信紘科,2025/09,417,0,0.85,-9.3
6668 中揚光,2025/09,-,-,-,-
6669 緯穎,2025/09,"7,747",0.62,4.17,11.8
6670 復盛應用,2025/09,"16,474",0.1,11.82,-1.69
6672 騰輝電子-KY,2025/09,-,-,-,-
6679 鈺太,2025/09,6,0,0.01,2.89
6683 雍智科技,2025/09,-,-,-,-
6689 伊雲谷,2025/09,650,0,0.96,-2.98
6691 洋基工程,2025/09,"1,377",0.01,1.13,-10.06
6695 芯鼎,2025/09,-,-,-,-
6698 旭暉應材,2025/09,-,-,-,-
6702 興航,2025/09,-,-,-,-
6703 軒郁,2025/09,-,-,-,-
6706 惠特,2025/09,1,0,0,43.41
6712 長聖,2025/09,-,-,-,-
6715 嘉基,2025/09,1,0,0,-17.97
6716 應廣,2025/09,-,-,-,-
6719 力智,2025/09,29,0,0.03,12.23
6732 昇佳電子,2025/09,9,0,0.02,19.1
6739 竹陞科技,2025/09,275,0.01,1.18,41.05
6741 91APP*-KY,2025/09,-,-,-,-
6743 安普新,2025/09,-,-,-,-
6747 亨泰光,2025/09,-,-,-,-
6753 龍德造船,2025/09,-,-,-,-
6754 匯僑設計,2025/09,46,0,0.07,-5.88
6756 威鋒電子,2025/09,11,0,0.02,-5.09
