Current,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
公司代碼,年月日,M0000 特殊 %,M1100 水泥工業 %,M1200 食品工業 %,M1300 塑膠工業 %,M1400 紡織纖維 %,M1500 電機機械 %,M1600 電器電纜 %,M1700 化學生技醫療 %,M1721 化學工業 %,M1722 生技醫療業 %,M1800 玻璃陶瓷 %,M1900 造紙工業 %,M2000 鋼鐵工業 %,M2100 橡膠工業 %,M2200 汽車工業 %,M2300 電子工業 %,M2324 半導體業 %,M2325 電腦及週邊設備業 %,M2326 光電業 %,M2327 通訊網路業 %
00918 大華優利高填息30,2025/11/28,0,0,0,0,2.16,0,0,0.54,0.54,0,0,0,0,0,0.65,49.66,20.08,9.34,1.99,0.03
00919 群益台灣精選高息,2025/11/28,0,0,0,0,0.94,0.59,0,0.57,0.57,0,0,0,0,0,0,27.99,17.73,0,2.32,0.43
00920 富邦ESG綠色電力,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.58,0,2.45,0,0
00921 兆豐龍頭等權重,2025/11/28,0,2.55,2.74,5.73,3.02,4.36,2.93,4.09,1.78,2.31,2.34,3.06,3.02,2.19,2.63,30.95,7.18,2.8,2.7,3.67
00922 國泰台灣領袖50,2025/11/28,0,0,1,0,0,0.49,0,0,0,0,0,0,0,0,0.8,80.55,52.46,8.29,0.73,3.86
00923 群益台ESG低碳50,2025/11/28,0,0,0.61,0,0,0.2,0,0.22,0,0.22,0,0,0,0,0.5,86.07,53.04,9.92,0,3.72
00924 復華S&P500成長,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00925 新光標普電動車,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00926 凱基全球菁英55,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00927 群益半導體收益,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.5,73.5,0,0,0
00928 中信上櫃ESG 30,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00929 復華台灣科技優息,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.6,21.87,27.26,2.5,1.44
00930 永豐ESG低碳高息,2025/11/28,0,0,0,0,6.35,0.67,0,0.08,0.08,0,0,0,0,0,1.95,56.76,19.45,9.58,4.37,2.58
00932 兆豐永續高息等權,2025/11/28,0,0,1.91,2.05,2.21,4.11,0,0,0,0,0,0,4.24,1.72,1.94,49.91,10.35,8.81,5.18,3.95
00934 中信成長高股息,2025/11/28,0,0,0.44,0,3.61,0,0,3.14,3.14,0,0,0,0.48,0,0.85,56.58,15.28,12.41,3.41,0.92
00935 野村創新科技50,2025/11/28,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,91.46,57.57,6.09,0,3.89
00936 台新永續高息中小,2025/11/28,0,0,0,0,8.78,6.5,0,0,0,0,0,0,2.76,0,0,43.68,8.41,10.26,4.7,0
00938 凱基優選30,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0.66,43.5,38.25,1.4,0.66,0
00939 統一台灣高息動能,2025/11/28,0,0,0,0,0.81,3.43,0,0,0,0,0,0,0.59,0.4,0.38,44.24,19.73,9.57,0.42,0
00940 元大台灣價值高息,2025/11/28,0,2.06,2.21,0,0,1.91,0,0,0,0,0,0,0,0,1.95,54.65,15.71,12.9,4.91,2.21
00941 中信上游半導體,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0.18,0,0,0
00943 兆豐電子高息等權,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.52,18.17,7.58,4.93,3.63
00944 野村趨勢動能高息,2025/11/28,0,0,3.66,0,0,0,0,0,0,0,0,0,3.09,0,0,53.24,12.86,13.03,1.59,4.55
00945B 凱基美國非投等債,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00946 群益科技高息成長,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.35,23.11,9.25,2.46,1.53
00947 台新臺灣IC設計,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.44,61.74,0,0,0
00949 復華日本龍頭,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00951 台新日本半導體,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00952 凱基台灣AI50,2025/11/28,0,0,0,0,0,0,0,2.13,2.13,0,0,0,0,0,0,77.51,12.21,30.12,3.99,2.08
00954 中信日本半導體,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00955 中信日本商社,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00956 中信日經高股息,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00957B 兆豐US優選投等債,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00958B 永豐ESG銀行債15+,2025/11/28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00960 野村全球航運龍頭,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00961 FT臺灣永續高息,2025/11/28,0,2.96,0,0,5.69,4.17,0,0,0,0,0,0,0,3.48,0,49.68,11.24,16.16,7.34,0
00962 台新AI優息動能,2025/11/28,0,0,0,0,0,14.34,0,0.17,0,0.17,0,0,0,0,1.74,63.36,10.6,30.01,0.67,7.49
00963 中信全球高股息,2025/11/28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00964 中信亞太高股息,2025/11/28,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0,14.34,4.12,1.57,1.8,1.72
