Current,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
基金碼,日期,基金淨資產 (千元),A1  投資國內上市股票比例,A2  投資國內台灣存託憑證,A3  投資國內基金比例,A4  投資國內上櫃股票比例,A5  投資國內買斷債券比例,A6  投資國內RP比例,A7  國內資產證券化商品,A8  投資國內其他有價證券,A0  投資國內有價證券比例,B1  國內短期投資-短票,B2  國內短期投資-其他,B3  短期投資-一般存款,B4  短期投資-短期票券-RP,B0  國內短期投資小計,A+B 投資國內合計,C1  投資日本比例,C2  投資紐澳比例,C3  投資國外其他區域比例,C4  投資北美比例
00718B 富邦中國政策債,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00719B 元大美債1-3,2025/10,"15,740,630",0,0,0,0,0,0.64,0,0,0.64,0,0,0.46,0,0.46,1.1,0,0,0,98.65
00720B 元大投資級公司債,2025/10,"133,866,711",0,0,0,0,0,1.38,0,0,1.38,0,0,0.11,0,0.11,1.49,0.27,0,0,91.02
00721B 元大中國債3-5,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00722B 群益投資級電信債,2025/10,"54,004,077",0,0,0,0,0,0,0,0,0,0,0,2.14,0,2.14,2.14,0,0,0,48.04
00723B 群益投資級科技債,2025/10,"47,504,742",0,0,0,0,0,0,0,0,0,0,0,1.4,0,1.4,1.4,0,0,0,43.54
00724B 群益投資級金融債,2025/10,"100,422,479",0,0,0,0,0,1.29,0,0,1.29,0,0,0.23,0,0.23,1.52,0,0,0,73.65
00725B 國泰投資級公司債,2025/10,"135,898,000",0,0,0,0,0,1.43,0,0,1.43,0,0,0.06,0,0.06,1.49,0,0,0,98.58
00726B 國泰新興投等債,2025/10,"38,960,471",0,0,0,0,0,0,0,0,0,0,0,0.29,0,0.29,0.29,0,0,0,97.76
00727B 國泰優選非投等債,2025/10,"3,438,313",0,0,0,0,0,0,0,0,0,0,0,1.53,0,1.53,1.53,0,0,0,96.8
00728 第一金工業30,2025/10,"1,725,042",97.5,0,0,0,0,0,0,0,97.5,0,0,0.27,0,0.27,97.77,0,0,0,0
00729R 第一金工業30反1,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00730 富邦臺灣優質高息,2025/10,"1,832,034",78.26,0,0,21.06,0,0,0,0,99.32,0,0,1.2,0,1.2,100.52,0,0,0,0
00731 復華富時高息低波,2025/10,"2,946,582",95.62,0,0,0,0,0,0,0,95.62,0,0,1.69,0,1.69,97.31,0,0,0,0
00732 國泰RMB短期報酬,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00733 富邦臺灣中小,2025/10,"7,092,167",97.79,0,0,0,0,0,0,0,97.79,0,0,3.59,0,3.59,101.38,0,0,0,0
00734B 台新JPM新興債,2025/10,"442,716",0,0,0,0,0,0,0,0,0,0,0,1.34,0,1.34,1.34,0,0,0,0
00735 國泰臺韓科技,2025/10,"394,125",54.82,0,0,0,0,0,0,0,54.82,0,0,14.38,0,14.38,69.2,0,0,0,0
00736 國泰新興市場,2025/10,"157,666",25.8,0,0,0.13,0,0,0,0,25.93,0,0,2.2,0,2.2,28.13,0,0,3.9,0.6
00737 國泰AI機器人,2025/10,"901,318",0.88,0,0,0,0,0,0,0,0.88,0,0,2.55,0,2.55,3.43,9.49,0,0,70.88
00739 元大MSCI A股,2025/10,"767,424",0,0,0,0,0,0,0,0,0,0,0,2.54,0,2.54,2.54,0,0,0,0
00740B 富邦全球投等債,2025/10,"63,245,720",0,0,0,0,0,0.4,0,0,0.4,0,0,0.88,0,0.88,1.28,0,0,0.71,91.19
00741B 富邦全球非投等債,2025/10,"577,036",0,0,0,0,0,0,0,0,0,0,0,0.73,0,0.73,0.73,2.3,1.12,4.1,84.5
00742 新光內需收益,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00743 國泰中國A150,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00744B 國泰中國政金債5+,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00745B 富邦中政債0-1,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00746B 富邦A級公司債,2025/10,"83,828,464",0,0,0,0,0,0.36,0,0,0.36,0,0,2.94,0,2.94,3.3,0.27,0.95,0,90.58
00747B FH中國政策債,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00748B 凱基中國債3-10,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00749B 凱基新興債10+,2025/10,"36,014,139",0,0,0,0,0,0,0,0,0,0,0,3.77,0,3.77,3.77,0,0,2.46,0
00750B 凱基科技債10+,2025/10,"4,951,279",0,0,0,0,0,0,0,0,0,0,0,1.23,0,1.23,1.23,0,0,7.46,34.63
00751B 元大AAA至A公司債,2025/10,"154,085,229",0,0,0,0,0,0,0,0,0,0,0,0.44,0,0.44,0.44,0,0.44,0,96.5
00752 中信中國50,2025/10,"8,038,974",0,0,0,0,0,0,0,0,0,0,0,1.13,0,1.13,1.13,0,0,0,5.16
00753L 中信中國50正2,2025/10,"10,091,428",0,0,6.62,0,0,0,0,0,6.62,0,0,26.05,0,26.05,32.67,0,0,0,0
00754B 群益AAA-AA公司債,2025/10,"34,389,982",0,0,0,0,0,0,0,0,0,0,0,0.29,0,0.29,0.29,0,0,0,36.15
00755B 群益投資級公用債,2025/10,"7,109,955",0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0,0,0,55.71
00756B 群益投等新興公債,2025/10,"43,841,744",0,0,0,0,0,1.85,0,0,1.85,0,0,0.12,0,0.12,1.97,0,0,0.73,0.38
00757 統一FANG+,2025/10,"43,774,466",0,0,0,0,0,0,0,0,0,0,0,0.48,0,0.48,0.48,0,0,0,94.97
00758B 復華能源債,2025/10,"308,424",0,0,0,0,0,0,0,0,0,0,0,0.09,0,0.09,0.09,0,0.57,0,88.71
00759B 復華製藥債,2025/10,"2,641,747",0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0.1,2.5,0,0,83.68
00760B 復華新興企業債,2025/10,"25,254,645",0,0,0,0,0,0,0,0,0,0,0,0.15,0,0.15,0.15,0,0,28.43,3.6
00761B 國泰A級公司債,2025/10,"93,378,199",0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0,0,0,98.37
00762 元大全球AI,2025/10,"5,053,634",1.14,0,0,0,0,0,0,0,1.14,0,0,2.63,0,2.63,3.77,1.81,0.34,0,86.37
00764B 群益25年美債,2025/10,"39,176,694",0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0,0,0,7.22
00765B 群益中國政金債,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00766L 台新MSCI中國正2,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
00767 FH美國金融股,2025/10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
